Name,id,latitude,longitude,predictions
Bolinas Lagoon,9414958,37.908,-122.6785,Harmonic
Point Reyes,9415020,37.9961,-122.9767,Harmonic
Tomales Bay entrance,9415469,38.2283,-122.977,Subordinate
"Blakes Landing, Tomales Bay",9415396,38.19,-122.917,Subordinate
"Marshall, Tomales Bay",9415339,38.1617,-122.893,Subordinate
"Reynolds, Tomales Bay",9415320,38.1467,-122.883,Subordinate
"Inverness, Tomales Bay",9415228,38.1133,-122.868,Subordinate
Bodega Harbor entrance,9415625,38.3083,-123.055,Subordinate
Fort Ross,9416024,38.5133,-123.245,Subordinate
Green Cove,9416409,38.7043,-123.4494,Harmonic
ARENA COVE,9416841,38.9133,-123.708,Harmonic
Point Arena,TWC0771,38.95,-123.7333,Subordinate
NOYO HARBOR,9417426,39.4258,-123.8051,Harmonic
"Mendocino, Mendocino Bay",TWC0777,39.3,-123.8,Subordinate
Westport,9417624,39.6333,-123.783,Subordinate
Shelter Cove,9418024,40.025,-124.058,Subordinate
